parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
nickel,dissolved,ug/l, c,all,aquatic_acute,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, b,all,aquatic_acute,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, a,all,aquatic_acute,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, a-special,all,aquatic_acute,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, aa,all,aquatic_acute,fishing,flow; pond,NA,<=
nickel,dissolved,ug/l, aa-special,all,aquatic_acute,fishing,flow; pond,NA,<=
nitrate,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrate,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrate,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrate,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrite,total,ug/l,c,non_trout,aquatic_chronic,fishing,flow; pond,100,<=
nitrite,total,ug/l, b,non_trout,aquatic_chronic,fishing,flow; pond,100,<=
nitrite,total,ug/l, a,non_trout,aquatic_chronic,fishing,flow; pond,100,<=
nitrite,total,ug/l, a-special,non_trout,aquatic_chronic,fishing,flow; pond,100,<=
nitrite,total,ug/l, aa,non_trout,aquatic_chronic,fishing,flow; pond,100,<=
nitrite,total,ug/l, aa-special,non_trout,aquatic_chronic,fishing,flow; pond,100,<=
nitrite,total,ug/l,c,trout,aquatic_chronic,fishing,flow; pond,20,<=
nitrite,total,ug/l, b,trout,aquatic_chronic,fishing,flow; pond,20,<=
nitrite,total,ug/l, a,trout,aquatic_chronic,fishing,flow; pond,20,<=
nitrite,total,ug/l, a-special,trout,aquatic_chronic,fishing,flow; pond,20,<=
nitrite,total,ug/l, aa,trout,aquatic_chronic,fishing,flow; pond,20,<=
nitrite,total,ug/l, aa-special,trout,aquatic_chronic,fishing,flow; pond,20,<=
nitrite,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,1000,<=
nitrite,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,1000,<=
nitrite,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,1000,<=
nitrite,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,1000,<=
nitrate_nitrite,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrate_nitrite,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrate_nitrite,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,10000,<=
nitrate_nitrite,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,10000,<=
ph,total,ph_units,c,all,none,fishing,flow; pond,6.5,>=
ph,total,ph_units,c,all,none,fishing,flow; pond,8.5,<=
ph,total,ph_units,b,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,6.5,>=
ph,total,ph_units,b,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,8.5,<=
ph,total,ph_units,a,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6.5,>=
ph,total,ph_units, a-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6.5,>=
